queue_order,source_id,source_status,source_name,source_url,source_address,source_prefecture,source_capacity,source_updated_at,discovered_at,official_url,official_name,official_status,official_capacity,official_area_m2,official_price_url,official_access_url,official_conditions_url,official_observed_at,verification_status,canonical_candidate_id,notes
113,LASENS-559,listed,利賀スタジオ,https://lasens.com/database/theater-559.html,富山県南砺市利賀村上百瀬48番地 (富山県利賀芸術公園内),富山県,150,2020-06-24,2026-07-31,https://www.togapk.net/facility/?facility_id=4,富山県利賀芸術公園 利賀スタジオ,current,150,377.2,,https://www.togapk.net/assets/docs/Access_PDF_160131_jp.pdf,,2026-07-31,verified_primary,,"施設公式で現在利用されている利賀スタジオを確認し、富山県の令和6年度指定管理評価表で377.20平方メートル・150名収容を確認。一般貸館の個別料金・利用条件は公開確認できず空欄とした"
114,LASENS-3428,listed,パティオ池鯉鮒・花しょうぶホール,https://lasens.com/database/theater-3428.html,愛知県知立市上重原町116番地,愛知県,293,2021-11-30,2026-07-31,https://patio-chiryu.com/facility/hanashobuhall/,パティオ池鯉鮒（知立市文化会館） 花しょうぶホール,current,293,,https://patio-chiryu.com/facility/hanashobuhall/,https://patio-chiryu.com/access/,https://patio-chiryu.com/facility/,2026-07-31,verified_primary,,"指定管理者公式で可変244〜293席、現行料金、アクセス、申込期間、利用条件を確認。収容欄は公式範囲の最大293席を記録し、可変構成を注記した"
115,LASENS-508,listed,スタジオヴァリエ,https://lasens.com/database/theater-508.html,京都府京都市左京区吉田二本松町20-1,京都府,60,2020-06-23,2026-07-31,https://benriticket.wixsite.com/studiovarie,スタジオVARIE,unknown,,,,https://benriticket.wixsite.com/studiovarie/access,,2026-07-31,primary_partial,,"運営者公式サイトで名称・住所・アクセスと貸出導線を確認したが、掲載された最新日程は2018年で2026年の現行営業または閉館を確定できず。LaSensの60席と料金は公式欄へ転記していない"
116,LASENS-614,marked_closed,MOVE FACTORY（ムーヴファクトリー）,https://lasens.com/database/theater-614.html,大阪府大阪市北区中崎1丁目8－14,大阪府,70,2026-07-13,2026-07-31,https://x.com/movefactory_st,MOVE FACTORY,closed,,,,,,2026-07-31,verified_primary,,"施設公式Xアカウントが当スタジオと運営会社を2026年3月末で閉館・閉業すると告知したことを確認。旧公式ブログは取得できず、LaSensの70席・旧料金・アクセスを公式欄へ転記していない"
117,LASENS-2372,listed,神戸三宮シアターA☆to,https://lasens.com/database/theater-2372.html,兵庫県神戸市中央区琴ノ緒町5丁目6-9,兵庫県,100,2020-06-23,2026-07-31,https://www.a-to-kobe.jp/,神戸三宮シアター・エートー,current,100,,https://www.a-to-kobe.jp/rent2,https://www.a-to-kobe.jp/access,https://www.a-to-kobe.jp/rent2,2026-07-31,verified_primary,,"施設公式でひな壇100席、ロールバック可能、貸館料金・条件、アクセスと2026年公演を確認。料金ページは2019年9月施行表記のため予約時の現行確認が必要"
118,LASENS-645,listed,ウエルとばた（北九州市立戸畑市民会館） 中ホール,https://lasens.com/database/theater-645.html,福岡県北九州市戸畑区汐井町1番6号,福岡県,300,2020-06-23,2026-07-31,https://www.wel-tobata.jp/building/guide/hoal_m-2/,北九州市ウェルとばた 中ホール,current,300,,https://www.wel-tobata.jp/building/guide/hoal_m-2/,https://www.wel-tobata.jp/access/,https://www.wel-tobata.jp/building/reserved/l/,2026-07-31,verified_primary,,"施設公式で300席、入場料区分別の現行料金、アクセス、申込時期、事前打合せ、利用制限を確認"
119,LASENS-3344,listed,那覇市ぶんかテンブス館,https://lasens.com/database/theater-3344.html,沖縄県那覇市牧志3丁目2番10号,沖縄県,246,2021-06-19,2026-07-31,https://tenbusukan.jp/hall.html,てんぶす那覇 テンブスホール,current,246,294.2,https://tenbusukan.jp/pdf/20241101info_hall.pdf,https://tenbusukan.jp/contact.html,https://tenbusukan.jp/terms.html,2026-07-31,verified_primary,,"現公式名称はてんぶす那覇。指定管理者公式で通常246席、スタンディング330名、294.2平方メートル、2024年11月改定料金、アクセス、利用規約を確認"
120,LASENS-3940,listed,ジョブキタ北八劇場,https://lasens.com/database/theater-3940.html,北海道札幌市北区北８条西１丁目３番地 「さつきた８・１」２階,北海道,226,2024-09-10,2026-07-31,https://kita8theater.com/about-us/,ジョブキタ北八劇場,current,226,,,https://kita8theater.com/access/,https://kita8theater.com/wp-content/uploads/2024/04/%E5%8C%97%E5%85%AB%E5%8A%87%E5%A0%B4%E3%81%94%E5%88%A9%E7%94%A8%E6%A1%88%E5%86%85_2024-03-24.pdf,2026-07-31,verified_primary,,"公式サイトで226席、一般貸出、アクセス、2026年公演を確認。LASENS-3438の仮称行と同一施設の重複索引であり、2024年案内の期限付き割引は現行料金として記録しない"
121,LASENS-673,listed,仙台市民会館（小ホール）,https://lasens.com/database/theater-673.html,宮城県仙台市青葉区桜ヶ岡公園4-1,宮城県,500,2020-06-24,2026-07-31,https://www.tohoku-kyoritz.co.jp/shimin/gaiyou/hall/syou_hall.htm,トークネットホール仙台（仙台市民会館） 小ホール,current,500,,https://www.tohoku-kyoritz.co.jp/shimin/annai/sisetu_ryoukin_3110.htm,https://www.tohoku-kyoritz.co.jp/shimin/index1.html,https://www.tohoku-kyoritz.co.jp/shimin/annai/mousikomi.htm,2026-07-31,verified_primary,,"指定管理者公式で2026年7月更新、500席、現行料金、受付期間・連続利用日数等の申込条件を確認。仙台市公式も令和8年度以降の指定管理対象施設として現行運営を確認"
122,LASENS-395,listed,千葉市美浜文化ホール(メインホール),https://lasens.com/database/theater-395.html,千葉県千葉市美浜区真砂5-15-2,千葉県,351,2020-06-24,2026-07-31,https://chiba-aw.jp/mihama/hall,千葉市美浜文化ホール メインホール,current,354,,https://chiba-aw.jp/mihama/price,https://chiba-aw.jp/mihama/access,https://chiba-aw.jp/mihama/guide,2026-07-31,verified_primary,,"指定管理者公式の2026年度案内と千葉市公式資料で現行運営を確認。客席は固定351席と車椅子席3席の計354席、親子室4席は別扱い。料金、アクセス、予約・キャンセル条件を公式公開"
123,LASENS-676,marked_closed,atelier SENTIO（アトリエセンティオ）,https://lasens.com/database/theater-676.html,東京都豊島区池袋本町4-29-10-1F,東京都,,2020-06-24,2026-07-31,https://dainanagekijo.tumblr.com/post/174209971403/about,atelier SENTIO,unknown,,,,,,2026-07-31,primary_partial,,"共同運営した第七劇場の公式沿革で2006年から2013年まで東京のatelier SENTIOを拠点とし、2014年に三重へ移設したことを確認。旧公式ドメインは現行表示を確認できず、施設の閉館告知は一次情報で確認できないためunknown"
124,LASENS-550,listed,テアトルフォンテ(泉区民文化センター),https://lasens.com/database/theater-550.html,神奈川県横浜市泉区和泉町3511-9 いずみ中央ライフ3F,神奈川県,386,2020-06-24,2026-07-31,https://www.theatrefonte.com/facility/detail/id=110,横浜市泉区民文化センター テアトルフォンテ ホール,current,386,,https://www.theatrefonte.com/price/,https://www.theatrefonte.com/access/,https://www.theatrefonte.com/guide/,2026-07-31,verified_primary,,"指定管理者公式で2026年催事と貸館を確認。可動席構成は282〜386席、通常時359人に親子室5席を別記しており、official_capacityは公式最大386席。現住所は和泉中央南5-4-13"
125,LASENS-3744,listed,メニコンシアターAoi,https://lasens.com/database/theater-3744.html,愛知県名古屋市中区葵三丁目21番19号,愛知県,301,2023-07-18,2026-07-31,https://meniconart.or.jp/aoi/floorguide/,メニコン シアターAoi,current,301,,https://meniconart.or.jp/aoi/rental/,https://meniconart.or.jp/aoi/access/,https://meniconart.or.jp/aoi/rental/,2026-07-31,verified_primary,,"運営財団公式で301席（車椅子スペース2席・多目的室4席を含む）、2026年貸館公演、基本料金、会員登録・申込時期・利用制限、千種駅徒歩約4分を確認"
126,LASENS-495,marked_closed,スペース･イサン,https://lasens.com/database/theater-495.html,京都府京都市東山区本町10-151-1,京都府,,2020-09-09,2026-07-31,https://www.facebook.com/p/SPACE-LFAN-100083641352988/,SPACE LFAN（旧 スペース・イサン）,current,,,,https://choreographers.jcdn.org/program/d26_kyoto,,2026-07-31,primary_partial,,"アーツシード京都公式が同住所のSPACE LFANを旧スペース・イサンと明記し、JCDN公式の2026年度事業が2026年9〜12月に同会場を使用予定。施設公式Facebook以外に料金・一般貸館条件・客席等の公開一次情報を確認できない"
127,LASENS-461,listed,OVAL THEATER,https://lasens.com/database/theater-461.html,大阪府大阪市阿倍野区阿倍野筋2-4-45,大阪府,,2022-01-05,2026-07-31,https://www.thekio.co.jp/,,unknown,,,,,,2026-07-31,primary_partial,,"旧公式URLと関係する一般社団法人KIOの現行公式サイト・会社概要を確認。公式オンラインショップにはlOXODONTA BLACKの紹介が残るが更新日がなく、現行KIOサイトはOVAL THEATERの営業・閉館・貸館情報を掲載していないため旧住所施設の状態を確定しない"
128,LASENS-3537,listed,町劇Akashi bb,https://lasens.com/database/theater-3537.html,兵庫県明石市相生町2-11-9 3階南 大枝ビル,兵庫県,,2022-10-08,2026-07-31,https://matigeki-akashi-solaseed.com/%E7%94%BA%E5%8A%87akashi/,町劇Akashi,current,,,,https://matigeki-akashi-solaseed.com/%E7%94%BA%E5%8A%87akashi/,https://matigeki-akashi-solaseed.com/%E7%94%BA%E5%8A%87akashi/,2026-07-31,primary_partial,,"運営劇団公式で2025年4月に明石市本町1-17-3 ゑびや第2ビル3階西室へ移転した現行施設を確認。2026年の催事と劇場貸出を明記するが、客席・面積・料金等の比較項目は公開確認できない"
129,LASENS-538,marked_closed,シアターポケット,https://lasens.com/database/theater-538.html,福岡県福岡市中央区清川2-6-22,福岡県,40,2020-06-24,2026-07-31,,,,,,,,,2026-07-31,official_not_found,,"施設名・住所と福岡の演劇関係団体まで探索したが、運営者公式サイト・公式PDF・閉館告知を確認できず。LaSensの閉館表示と40席を公式欄へ転記していない"
130,LASENS-3418,listed,那覇文化芸術劇場 なはーと 小劇場,https://lasens.com/database/theater-3418.html,沖縄県那覇市久茂地3-26-27,沖縄県,259,2021-11-01,2026-07-31,https://www.nahart.jp/use/s_hall/,那覇文化芸術劇場なはーと 小劇場,current,259,,https://www.nahart.jp/userfiles/files/sisetusiyouryou.pdf,https://www.nahart.jp/access/,https://nahart.jp/sp/use/flow/,2026-07-31,verified_primary,,"那覇市の劇場公式で259席と車椅子スペース2席、使用料、申請手順、利用条件、県庁前・美栄橋各駅徒歩約6分を確認。2026年の施設受付・催事も確認した"
131,LASENS-378,listed,ターミナルプラザことにPATOS イベントホール,https://lasens.com/database/theater-378.html,北海道札幌市西区琴似1条4丁目 地下鉄琴似駅B2F,北海道,150,2020-06-24,2026-07-31,https://patos.concarino.or.jp/infomation/,ターミナルプラザことにパトス 多目的ホール,current,99,,https://patos.concarino.or.jp/patos-information/,https://patos.concarino.or.jp/%e3%82%a2%e3%82%af%e3%82%bb%e3%82%b9/,https://patos.concarino.or.jp/patos-information/,2026-07-31,verified_primary,,"NPO法人コンカリーニョ運営の公式サイトと2024年7月利用案内で最大99名、固定席なし、内寸9.1m×17.2m×高さ4m、料金・申込条件、地下鉄琴似駅直結を確認。公式面積値はないため寸法から計算せず、LaSensの150席は転記していない"
132,LASENS-2759,listed,誰も知らない劇場,https://lasens.com/database/theater-2759.html,宮城県仙台市青葉区本町1丁目11番2号 SK仙台ビル3F,宮城県,154,2020-10-12,2026-07-31,https://www.edward.co.jp/theater/info/,誰も知らない劇場,current,154,,https://www.edward.co.jp/theater/info/,https://www.edward.co.jp/theater/access/,https://www.edward.co.jp/theater/info/,2026-07-31,verified_primary,,"運営者公式で154席、基本使用料・時間貸し・設備、利用用途、アクセスと2026年催事を確認。現住所は仙台市青葉区中央2丁目5-10 仙台新伝馬町ビル3Fで、LaSens掲載住所は現行公式と異なる"
133,LASENS-396,listed,千葉市美浜文化ホール(音楽ホール),https://lasens.com/database/theater-396.html,千葉県千葉市美浜区真砂5-15-2,千葉県,150,2020-06-24,2026-07-31,https://chiba-aw.jp/mihama/floor-ongakuhall,千葉市美浜文化ホール 音楽ホール,current,152,,https://chiba-aw.jp/mihama/price,https://chiba-aw.jp/mihama/access,https://chiba-aw.jp/mihama/guide,2026-07-31,verified_primary,,"指定管理者公式と千葉市公式で固定150席と車椅子スペース2席の計152席、料金、アクセス、予約・キャンセル条件、2026年催事を確認。LaSensの150席は固定席のみの値として公式定員へ転記していない"
134,LASENS-649,listed,Atlier Kanon（アトリエカノン）,https://lasens.com/database/theater-649.html,東京都杉並区西荻北4-15-13,東京都,40,2020-09-03,2026-07-31,http://www.gut.co.jp/kanon/atelier.html,Atelier Kanon B1F Atelier,current,,50,http://www.gut.co.jp/kanon/atelier.html,http://www.gut.co.jp/kanon/anfahrt.html,http://www.gut.co.jp/kanon/atelier.html,2026-07-31,verified_primary,,"施設公式の2026年更新ページでB1F約50平方メートル、レンタル用途・時間料金・アクセスを確認。公式ページに収容定員の明記がないためLaSensの40席を転記せず、料金表の税表示は予約前の現行確認が必要"
135,LASENS-328,listed,ハーモニーホール座間(小ホール),https://lasens.com/database/theater-328.html,神奈川県座間市緑ヶ丘1-1-2,神奈川県,410,2020-06-24,2026-07-31,https://harmony.zamashi.jp/facilities/index.html,ハーモニーホール座間 小ホール,closed,410,,https://harmony.zamashi.jp/guide/index.html,https://harmony.zamashi.jp/access/index.html,https://harmony.zamashi.jp/guide/index.html,2026-07-31,verified_primary,,"指定管理者公式で可変最大410席、標準308席、利用料金・申込条件を確認。大規模改修のため2024年8月1日から2026年10月31日まで一時休館中で、2026年11月1日再開予定分の利用受付は再開している"
136,LASENS-3415,listed,円頓寺LesPiliers,https://lasens.com/database/theater-3415.html,愛知県名古屋市西区那古野1-18-2,愛知県,25,2021-10-28,2026-07-31,https://www.facebook.com/endojilespiliers/,円頓寺Les Piliers（レピリエ）,current,,,,,,2026-07-31,primary_partial,,"施設公式FacebookのURLを確認し、名古屋市文化振興事業団の2025年公演情報と公式プレイガイドの2026年3月公演で現行利用を確認。公式Facebookは取得制限があり、客席・面積・料金・アクセス・一般貸館条件は一次情報として確認できず、LaSensの25席は転記していない"
137,LASENS-382,listed,京都芸術センター(フリースペース),https://lasens.com/database/theater-382.html,京都府京都市中京区室町通蛸薬師下る山伏山町546-2,京都府,,2020-06-24,2026-07-31,https://www.kac.or.jp/floorguide/,京都芸術センター フリースペース,current,,,https://www.kac.or.jp/news/20251016/,https://www.kac.or.jp/access/,https://www.kac.or.jp/news/20251016/,2026-07-31,verified_primary,,"施設公式で現行の多目的スペースと公演・上映会等への利用を確認。一般貸館ではなくCo-programの公募・審査による利用で、2026年度は会場・付帯設備を原則無料提供する一方、入場料収入の10％を広報協力費として納める条件がある。フリースペース個別の客席・面積は公式公開値を確認できず空欄"
138,LASENS-356,marked_closed,OZCカラビンカ(大阪造形シアター内）,https://lasens.com/database/theater-356.html,大阪府大阪市北区鶴野町1-1 大阪造形センター5F,大阪府,,2020-09-09,2026-07-31,https://blog.livedoor.jp/ozcschool/,,unknown,,,,,,2026-07-31,blocked,,"旧運営主体候補のOZC SCHOOL公式ブログURLまでは特定したが、取得時にタイムアウトし本文を確認できなかった。LaSensの閉館表示は一次情報として転記せず、現行・閉館、公式名称、客席、面積、料金、アクセス、利用条件を不明のまま保持"
139,LASENS-4010,listed,豊岡ミリオン座,https://lasens.com/database/theater-4010.html,兵庫県豊岡市中央町4－12－1階,兵庫県,50,2025-03-07,2026-07-31,https://www.toyookamillionza.com/,豊岡ミリオン座,current,50,,https://www.toyookamillionza.com/%E5%88%A9%E7%94%A8%E6%A1%88%E5%86%85/,https://www.toyookamillionza.com/%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9/,https://www.toyookamillionza.com/%E5%88%A9%E7%94%A8%E6%A1%88%E5%86%85/,2026-07-31,verified_primary,,"施設公式の2026年催事、50席、劇場仕様、平日・休日・連続利用料金、超過料金、基本設備、貸館規約、アクセスを確認。1日利用は10時〜22時で、基本設備を含むが特別機材等は別途の場合がある"
140,LASENS-551,marked_closed,テアトルはこざき,https://lasens.com/database/theater-551.html,福岡県福岡市東区箱崎1-28-17 2F,福岡県,50,2020-06-24,2026-07-31,https://www.city.fukuoka.lg.jp/keizai/b_sisetu/shisei/documents/kyotenbunkashisetsu_kihonkousou.pdf,テアトルはこざき,unknown,50,,,,,2026-07-31,primary_partial,,"福岡市公式の2011年基準ホール概況でテアトルはこざき50席を確認したが、同資料の閉館注記は別施設を対象としており、現行・閉館を確定できない。LaSensの閉館表示を転記せず、客席値は2011年時点の履歴として保持"
141,LASENS-279,listed,ちえりあホール(札幌市生涯学習センター),https://lasens.com/database/theater-279.html,北海道札幌市西区宮の沢1条1丁目1-10,北海道,436,2020-06-24,2026-07-31,https://chieria.slp.or.jp/kashishitsu/rental_room/hall.html,札幌市生涯学習センター ちえりあホール,current,436,,https://chieria.slp.or.jp/kashishitsu/rental_room/hall.html,https://chieria.slp.or.jp/shisetsu/access.html,https://chieria.slp.or.jp/kashishitsu/rental_room/hall.html,2026-07-31,verified_primary,,"指定管理者公式でワンスロープ式436席、前4列100席の着脱、車椅子スペース4席、舞台寸法、楽屋、時間帯別料金、割増条件、アクセスを確認。催事内容により希望どおり利用できない場合がある旨も公式条件に記載"
142,LASENS-2792,listed,登米祝祭劇場（水の里ホール） 小ホール,https://lasens.com/database/theater-2792.html,宮城県登米市迫町佐沼光ヶ丘３０,宮城県,200,2020-09-23,2026-07-31,https://www.tome-syukusai.or.jp/welcome/,水の里ホール・Abebisou（登米祝祭劇場） 小ホール,current,200,,https://www.tome-syukusai.or.jp/usage-fee/,https://www.tome-syukusai.or.jp/welcome/,https://www.tome-syukusai.or.jp/application-method/,2026-07-31,verified_primary,,"指定管理者公式で直径17メートルの円形小ホール、舞台構成時約200人、施設料金、申込方法、所在地・アクセスを確認。円形寸法から面積を推計せず、公式の約200人を客席比較値として記録"
143,LASENS-686,listed,Bar COREDO,https://lasens.com/database/theater-686.html,東京都港区赤坂9-6-41 乃木坂ビルB1,東京都,50,2020-11-30,2026-07-31,https://www.barcoredo.com/,,unknown,,,,,,2026-07-31,blocked,,"施設公式ドメインとイベント・アクセス各ページの存在までは確認したが、本文取得がタイムアウトまたは502となり一次情報を十分確認できなかった。LaSensの50席を転記せず、現行・閉館、公式名称、客席、面積、料金、アクセス、利用条件を不明のまま保持"
144,LASENS-3598,listed,よこすか芸術劇場 ヨコスカ・ベイサイド・ポケット,https://lasens.com/database/theater-3598.html,神奈川県横須賀市本町3-27,神奈川県,574,2023-01-14,2026-07-31,https://www.yokosuka-arts.or.jp/facility/hall-s/,ヨコスカ・ベイサイド・ポケット［小劇場］,current,574,,https://www.yokosuka-arts.or.jp/rental/price/,https://www.yokosuka-arts.or.jp/information/access/,https://www.yokosuka-arts.or.jp/rental/flow/,2026-07-31,verified_primary,,"指定管理者公式で可変200〜574席、総定員850人、舞台寸法、2026年4月1日以降の利用料金、申込から利用までの流れ、アクセスを確認。公式客席比較値は最大574席とし、総定員850人と区別"
145,LASENS-2361,listed,七ツ寺共同スタジオ,https://lasens.com/database/theater-2361.html,愛知県名古屋市中区大須2丁目27-20,愛知県,,2020-06-23,2026-07-31,http://nanatsudera.com/,七ツ寺共同スタジオ,current,,,http://nanatsudera.com/?page_id=42,http://nanatsudera.com/,http://nanatsudera.com/?page_id=42,2026-07-31,verified_primary,,"施設公式サイトで貸館予約、劇場資料、原則9時〜22時、1日4万円・土日祝割増・公演回数割増、前金・キャンセル条件を確認。公式の平面・立面図は公開されているが、客席定員と単一面積の文字情報を確認できないため空欄。HTTPSは自己署名証明書エラーのため公式HTTPページを記録"
146,LASENS-380,listed,京都大学内西部講堂,https://lasens.com/database/theater-380.html,京都府京都市左京区吉田本町 京都大学学生部教養掛気付,京都府,,2020-06-24,2026-07-31,https://www.kyoto-u.ac.jp/ja/access/campus/yoshida/map6r-y,京都大学 西部講堂,current,,,,https://www.kyoto-u.ac.jp/ja/access/campus/yoshida/map6r-y,,2026-07-31,primary_partial,,"京都大学公式の現行キャンパスマップで西部講堂を、公式文化系サークル一覧で西部講堂連絡協議会を確認。一般向け貸館の可否、現行利用手続、客席、面積、料金を公式公開情報で確認できず、大学施設としての現存のみを記録"
147,LASENS-3886,listed,SPACE14,https://lasens.com/database/theater-3886.html,大阪府大阪市中央区心斎橋筋1丁目8-3 心斎橋PARCO14F,大阪府,277,2024-05-21,2026-07-31,https://shinsaibashi.parco.jp/space14/rental/,SPACE14（スペースイチヨン）,current,277,284.3,https://shinsaibashi.parco.jp/space14/rental/,https://shinsaibashi.parco.jp/space14/,https://shinsaibashi.parco.jp/space14/rental/,2026-07-31,verified_primary,,"運営会社公式で2026年公演、最大277席、ホール客席284.3平方メートル、舞台69.1平方メートル、2025年4月改定の会場・専属技術スタッフ料金、審査・契約・事前打合せを含む利用手順、心斎橋駅直結のアクセスを確認。単一面積欄には客席部のみを記録"
148,LASENS-436,listed,パピオビールーム 大練習室,https://lasens.com/database/theater-436.html,福岡県福岡市博多区千代1丁目15番30号 千代文化スポーツセンター(パピオ)内,福岡県,300,2020-06-24,2026-07-31,https://bee-room.jp/about.php,福岡市千代音楽・演劇練習場（パピオビールーム） 大練習室,current,300,339,https://bee-room.jp/charge.php,https://bee-room.jp/index.php,https://bee-room.jp/guide.php,2026-07-31,verified_primary,,"指定管理者公式で339平方メートル、約300名（固定椅子100・補助椅子200）、音楽・演劇・舞踊等の練習と発表会用途、時間区分別料金、申込・利用制限を確認。営利レッスン、撮影・配信主目的は不可で、発表会利用は大練習室に限定"
149,LASENS-2367,listed,ふらの演劇工房,https://lasens.com/database/theater-2367.html,北海道富良野市中御料,北海道,302,2022-05-26,2026-07-31,https://engeki.furano.jp/%E6%BC%94%E5%8A%87%E5%B7%A5%E5%A0%B4%E3%81%94%E6%A1%88%E5%86%85/,富良野演劇工場,current,307,,https://engeki.furano.jp/%E6%BC%94%E5%8A%87%E5%B7%A5%E5%A0%B4%E3%81%94%E6%A1%88%E5%86%85/%E5%AF%8C%E8%89%AF%E9%87%8E%E6%BC%94%E5%8A%87%E5%B7%A5%E5%A0%B4-%E5%88%A9%E7%94%A8%E6%96%99%E9%87%91%E8%A1%A8/,https://engeki.furano.jp/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B-%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9/,https://engeki.furano.jp/%E6%BC%94%E5%8A%87%E5%B7%A5%E5%A0%B4%E3%81%94%E6%A1%88%E5%86%85/%E5%AF%8C%E8%89%AF%E9%87%8E%E6%BC%94%E5%8A%87%E5%B7%A5%E5%A0%B4-%E5%88%A9%E7%94%A8%E8%A6%8F%E7%B4%84/,2026-07-31,verified_primary,,"指定管理者公式で2026年公演、一般貸館、客席302席と親子室5席、舞台496.84平方メートル、音響室・客席272.58平方メートル、時間帯別料金、利用規約、アクセスを確認。公式比較客席は計307席とし、用途の異なる複数面積を単一面積へ合算していない"
150,LASENS-662,listed,白鳥ホール,https://lasens.com/database/theater-662.html,宮城県仙台市青葉区春日町6-1,宮城県,,2020-06-24,2026-07-31,,,,,,,,,2026-07-31,official_not_found,,"劇団公式上演記録で白鳥ビル8階・白鳥ホールの2010年利用までは確認したが、施設・運営者・自治体の公式サイト、現行または閉館の一次情報、客席、面積、料金、利用条件を確認できなかった。現在同住所に別事業者があることを閉館の証拠にはしていない"
151,LASENS-270,marked_closed,Be フリー,https://lasens.com/database/theater-270.html,東京都狛江市岩戸北1-7-9,東京都,150,2020-09-09,2026-07-31,,,,,,,,,2026-07-31,official_not_found,,"神戸大学震災文庫の1998年公演チラシでシアターBeフリーの名称・同住所までは確認したが、施設・運営者・狛江市の現行または閉館一次情報を確認できなかった。LaSensの閉館表示と150席を公式欄へ転記していない"
152,LASENS-458,listed,ラゾーナ川崎プラザソル,https://lasens.com/database/theater-458.html,神奈川県川崎市幸区堀川町72-1 ラゾーナ川崎プラザ5F,神奈川県,200,2020-06-24,2026-07-31,https://plazasol.jp/,ラゾーナ川崎プラザソル,current,200,,https://plazasol.jp/list/guide.pdf,https://plazasol.jp/map.html,https://plazasol.jp/list/guide.pdf,2026-07-31,verified_primary,,"施設公式で2026年催事、可動式200席、ホール幅12.4メートル・奥行14.5メートル、2025年4月適用の料金、入場料・用途別予約時期、禁止・要申請事項、川崎駅からのアクセスを確認。寸法から面積を推計せず空欄"
153,LASENS-657,listed,名古屋市港文化小劇場,https://lasens.com/database/theater-657.html,愛知県名古屋市港区港楽二丁目10番24号,愛知県,350,2020-06-24,2026-07-31,https://www.bunka758.or.jp/facility/minato/,港文化小劇場,current,350,,https://www.bunka758.or.jp/facility/minato/fee/,https://www.bunka758.or.jp/facility/minato/access/,https://www.bunka758.or.jp/facility/minato/opening_hours/,2026-07-31,verified_primary,,"指定管理者公式で2026年催事、350席（車椅子席3席）、料金、港区役所駅から徒歩3分、申込時期・支払方法・連続利用条件を確認。ホール面積は公式ページがダッシュ表記のため空欄"
154,LASENS-381,listed,京都府立文化芸術会館,https://lasens.com/database/theater-381.html,京都府京都市上京区河原町通広小路下ル,京都府,419,2020-06-24,2026-07-31,http://www.bungei.jp/,京都府立文化芸術会館,current,419,,https://www.pref.kyoto.jp/reiki/reiki_honbun/a300RG00000058.html,https://www.kyoto-kankou.or.jp/info_search/3730,https://www.pref.kyoto.jp/reiki/reiki_honbun/a300RG00000059.html,2026-07-31,verified_primary,,"京都府公式条例・規則と府公式施設資料、指定管理者公式サイトで設置継続、419席（車椅子席3席）、利用料金上限、使用承認・取消条件を確認。京都府観光連盟公式で市バス府立医大病院前からのアクセスを確認"
155,LASENS-647,listed,STAGE+PLUS,https://lasens.com/database/theater-647.html,大阪府大阪市阿倍野区松崎町2丁目3－5,大阪府,50,2020-06-24,2026-07-31,https://stageplus.net/,小劇場＋Bar「ステージプラス」,current,,,https://stageplus.net/wp/wp-content/uploads/2024/05/%E4%BE%A1%E6%A0%BC%E8%A1%A8.pdf,https://stageplus.net/access/,https://stageplus.net/wp/wp-content/uploads/2024/05/%E4%BE%A1%E6%A0%BC%E8%A1%A8.pdf,2026-07-31,verified_primary,,"施設公式で2026年公演予定、所在地、2024年版レンタル料金、管理費、支払・キャンセル条件を確認。公式ページ上で客席数と面積を確認できないため空欄"
156,LASENS-301,listed,ふくふくホール,https://lasens.com/database/theater-301.html,福岡県福岡市中央区荒戸3丁目3番39号,福岡県,248,2020-06-24,2026-07-31,https://www.fukufukuplaza.jp/pages/51/,ふくふくホール,current,240,,https://www.fukufukuplaza.jp/pages/36/,https://www.fukufukuplaza.jp/access/,https://www.fukufukuplaza.jp/relays/download/51/990/918/0/?file=%2Ffiles%2Flibs%2F3533%2F202509131535381680.pdf&file_name=%E3%81%B5%E3%81%8F%E3%81%B5%E3%81%8F%E3%83%9B%E3%83%BC%E3%83%AB%E3%81%AE%E3%81%94%E5%88%A9%E7%94%A8%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6,2026-07-31,verified_primary,,"指定管理者公式で2026年のお知らせ、固定席230席と車椅子席8～10席、時間帯別料金、交通案内、設営撤収を含む利用時間・飲食・事前打合せ・機材操作等の条件を確認。公式合計上限240として記録し、LaSensの248は転記していない"
157,LASENS-449,listed,ポルトホール(北翔大学内),https://lasens.com/database/theater-449.html,北海道札幌市中央区南1条西22丁目1番1号 北翔大学北方圏学術情報センター「ポルト」,北海道,377,2020-06-24,2026-07-31,https://www.hokusho-u.ac.jp/studentlife/campusguide/porto/,ポルトホール,current,377,,,https://www.hokusho-u.ac.jp/info/?i=4260,https://www.hokusho-u.ac.jp/studentlife/campusguide/porto/usagemethod/,2026-07-31,verified_primary,,"北翔大学公式で札幌円山キャンパスの現行案内と2026年利用、公式パンフレットで可動式377席、公式利用案内で学内利用がない場合の一般有料利用、公式催事案内で西18丁目駅1番出口徒歩5分を確認。公開料金表は確認できず空欄"
